ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2021,2,13,33,10446,0.21,0.0,968,0.063,23320.0,0.4,0.5,0.42300000000000004,0.57333993624726853,1.0,0.010466829386283176,0.734569389192049
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2020,2,3,23,10446,0.29,0.0,904,0.0691,22370.0,0.9,0.5,0.647,0.51010638545708209,0.95570079883805381,0.00976317699056666,0.68677454209714306
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2019,2,17,37,10446,0.25,0.0,882,0.0724,21900.0,0.2,0.5,0.35500000000000004,0.47882241822404248,0.93173565722585328,0.0095212964795391083,0.66215744414231315
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2019,2,18,38,4050,0.65,0.0,882,0.0724,21900.0,0.15,0.5,0.455,0.47882241822404248,0.93173565722585328,0.0095212964795391083,0.66215744414231315
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2018,2,3,23,10446,0.33,0.0,756,0.0724,21480.0,0.9,0.5,0.659,0.450866532611539,0.93173565722585328,0.0081359808254722159,0.65028243207027836
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2018,2,16,36,4050,0.74,0.0,756,0.0724,21480.0,0.25,0.5,0.522,0.450866532611539,0.93173565722585328,0.0081359808254722159,0.65028243207027836
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2017,2,11,31,10446,0.26,0.0,741,0.0743,20940.0,0.5,0.5,0.47800000000000004,0.41492325110974881,0.91793754538852579,0.0079710622952261587,0.62892360428577554
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2017,2,9,29,4050,0.76,0.0,741,0.0743,20940.0,0.6,0.5,0.66799999999999993,0.41492325110974881,0.91793754538852579,0.0079710622952261587,0.62892360428577554
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2016,1,19,19,4050,0.92,0.0,667,0.079,20411.5,0.1,1.0,0.71600000000000008,0.37974542838068193,0.88380537400145243,0.0071574642126789366,0.59737959045933853
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2016,2,17,37,10446,0.32,0.0,667,0.079,20411.5,0.2,0.5,0.376,0.37974542838068193,0.88380537400145243,0.0071574642126789366,0.59737959045933853
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2015,2,17,37,10446,0.4,0.0,663,0.0792,20235.38,0.2,0.5,0.4,0.36802259368050555,0.88235294117647056,0.0071134859379466545,0.59194225102941089
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2015,2,2,22,4050,0.56,0.0,663,0.0792,20235.38,0.95,0.5,0.748,0.36802259368050555,0.88235294117647056,0.0071134859379466545,0.59194225102941089
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2014,1,20,20,10446,0.6,0.0,674,0.0818,19802.0,0.05,1.0,0.60000000000000009,0.33917611342634657,0.86347131445170655,0.00723442619346043,0.57102331569312215
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2013,1,17,17,10446,0.65,0.0,693,0.0853,19501.43,0.2,1.0,0.675,0.31916968357265568,0.83805374001452426,0.0074433229984387714,0.55041640493554378
Ajaccio,2A004,Corse-du-Sud,Corse,football,G. Ajaccio,2013,2,20,40,4050,0.47,0.0,693,0.0853,19501.43,0.05,0.5,0.361,0.31916968357265568,0.83805374001452426,0.0074433229984387714,0.55041640493554378
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2012,1,16,16,10446,0.61,0.0,693,0.0834,19013.5,0.25,1.0,0.683,0.28669226627049182,0.85185185185185186,0.0074433229984387714,0.544324493933342
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2022,2,2,22,10446,0.33,0.0,1080,,,0.95,0.5,0.679,,,0.011698221078787079,
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2023,1,18,18,10446,0.72,0.0,1060,,,0.15,1.0,0.676,,,0.011478329705125669,
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2017,1,20,20,16480,0.64,0.0,470,0.0892,18460.0,0.05,1.0,0.6120000000000001,0.24985040273115691,0.80973129992737836,0.0049915341821140354,0.507301578147209
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2016,1,10,10,16480,0.7,0.0,416,0.1004,18020.0,0.55,1.0,0.83000000000000007,0.220563284470439,0.728395061728395,0.0043978274732282257,0.45462175838898722
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2015,1,12,12,16480,0.78,0.0,406,0.1032,17830.5,0.45,1.0,0.81400000000000006,0.20794985512860706,0.7080610021786492,0.0042878817863975195,0.43935438403396615
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2014,1,10,10,16480,0.83,0.0,454,0.1042,17306.21,0.55,1.0,0.869,0.17305225687198927,0.70079883805374,0.0048156210831849068,0.42202813231725816
Bastia,2B033,Haute-Corse,Corse,football,CA Bastia,2014,2,20,40,16480,0.09,0.0,454,0.1042,17306.21,0.05,0.5,0.247,0.17305225687198927,0.70079883805374,0.0048156210831849068,0.42202813231725816
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2013,1,12,12,16480,0.72,0.0,434,0.1011,17127.5,0.45,1.0,0.796,0.16115702754386912,0.72331154684095855,0.0045957297095234953,0.42841644929278866
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2012,2,1,21,16480,0.6,0.0,465,0.0932,16740.0,1.0,0.5,0.78,0.13536439498471411,0.78068264342774141,0.0049365613386986827,0.4469553603771057
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2022,2,12,32,16480,0.45,0.0,562,,,0.45,0.5,0.51500000000000012,,,0.0060030345009565271,
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2023,2,4,24,16480,0.61,0.0,573,,,0.85,0.5,0.72300000000000009,,,0.0061239747564703038,
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2021,1,15,15,26109,0.18,0.0,5853,0.1113,20260.0,0.3,1.0,0.57400000000000007,0.36966134107045751,0.64923747276688459,0.064175297403082879,0.50457092151316674
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2020,1,10,10,26109,0.95,0.0,4689,0.1152,19680.0,0.55,1.0,0.905,0.33105559427223841,0.62091503267973858,0.051377619455988739,0.46856856377675904
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2019,1,11,11,26109,0.97,0.0,4465,0.1205,19220.0,0.5,1.0,0.891,0.300437243363306,0.58242556281771973,0.048914836070980933,0.4358450967896727
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2018,1,15,15,26109,0.92,0.0,3980,0.1202,18790.0,0.3,1.0,0.796,0.27181574142669535,0.58460421205519242,0.043582470259691711,0.4228196377281202
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2017,2,1,21,26109,0.65,0.0,3433,0.1258,18580.0,1.0,0.5,0.79499999999999993,0.25783779862044359,0.54393609295570078,0.037568441190052114,0.39388738652105387
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2022,1,6,6,26109,0.9,0.0,5551,,,0.75,1.0,0.97000000000000008,,,0.060854937660795569,
Strasbourg,67482,Bas-Rhin,Alsace,football,R. Strasbourg,2023,1,15,15,26109,0.97,0.0,4765,,,0.3,1.0,0.81099999999999994,,,0.0522132066759021,
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2021,2,20,40,17072,0.18,0.0,514,0.117,20300.0,0.05,0.5,0.274,0.37232380636688639,0.60784313725490191,0.0054752952041691406,0.45558873877629008
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2020,2,15,35,17072,0.23,0.0,444,0.1254,19910.0,0.3,0.5,0.389,0.3463647697267046,0.5468409586056644,0.0047056753963542006,0.41431922489169121
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2019,2,11,31,17072,0.26,0.0,377,0.1299,19520.0,0.5,0.5,0.47800000000000004,0.32040573308652281,0.514161220043573,0.0039690392945884731,0.38722742290368989
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2018,2,9,29,17072,0.26,0.0,290,0.1295,19320.0,0.6,0.5,0.518,0.30709340660437828,0.51706608569353663,0.0030125118191613341,0.38287666139810028
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2015,2,19,39,17072,0.29,0.0,269,0.1329,18609.48,0.1,0.5,0.327,0.25980003554391168,0.49237472766884538,0.0027816258768168524,0.35149819099039581
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2014,2,18,38,17072,0.33,0.0,270,0.1331,18415.0,0.15,0.5,0.359,0.24685512927267439,0.49092229484386352,0.002792620445499923,0.34559950935375144
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2013,2,16,36,17072,0.33,0.0,227,0.1296,18225.33,0.25,0.5,0.399,0.23423038445333277,0.51633986928104569,0.0023198539921278887,0.35302201541791989
Châteauroux,36044,Indre,Centre,football,LB Châteauroux,2012,2,14,34,17072,0.36,0.0,297,0.1274,17752.78,0.35,0.5,0.448,0.20277668505764562,0.532316630355846,0.0030894737999428283,0.34881372610095268
Tours,37261,Indre-et-Loire,Centre,football,Tours FC,2018,2,20,40,12699,0.27,0.0,1815,0.1248,19910.0,0.05,0.5,0.30100000000000005,0.3463647697267046,0.55119825708061,0.019779229060843943,0.42403465096140885
Tours,37261,Indre-et-Loire,Centre,football,Tours FC,2017,2,16,36,12699,0.36,0.0,1386,0.1291,19360.0,0.25,0.5,0.40800000000000003,0.30975587190080722,0.51997095134350046,0.015062559095806671,0.39141910397997648
Tours,37261,Indre-et-Loire,Centre,football,Tours FC,2015,2,15,35,12699,0.4,0.0,1186,0.1288,19132.61,0.3,0.5,0.44,0.294620422306933,0.52214960058097315,0.012863645359192559,0.3853547918928561
Tours,37261,Indre-et-Loire,Centre,football,Tours FC,2016,2,9,29,12699,0.39,0.0,1170,0.128,19116.0,0.6,0.5,0.55699999999999994,0.2935148335925909,0.52795933188090038,0.012687732260263429,0.38772946550761828
Tours,37261,Indre-et-Loire,Centre,football,Tours FC,2014,2,8,28,12699,0.49,0.0,1208,0.1244,19025.24,0.65,0.5,0.607,0.28747369983499382,0.55410312273057372,0.013105525870220111,0.39859380423439444
