code_commune,ville,departement,region,correlation_commune,correlation_departement,correlation_region,,
01053,Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,"0,4440","0,7597","-0,482241",,
01283,Oyonnax,Ain,Auvergne-Rhône-Alpes,"-0,3342","0,7597","-0,482241",,
02691,Saint-quentin,Aisne,Hauts-de-France,"0,6955","0,7462","0,63058",,
03310,Vichy,Allier,Auvergne-Rhône-Alpes,"0,4629","0,7167","-0,482241",,
,,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,,,,,
06088,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"0,2108","0,1831","-0,41913",,
06004,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"-0,4636","0,1831","-0,41913",,
,,Ardèche,Auvergne-Rhône-Alpes,,,,,
08409,Sedan,Ardennes,Grand Est,"1,0000","-0,5286","-0,5762",,
08105,Charleville-mézières,Ardennes,Grand Est,"-0,4460","-0,5286","-0,5762",,
,,Ariège,Occitanie,,,,,
10387,Troyes,Aube,Grand Est,"0,1703","0,3523","-0,5762",,
11069,Carcassonne,Aude,Occitanie,"0,1531","-0,3795","0,346135",,
11262,Narbonne,Aude,Occitanie,"-0,6788","-0,3795","0,346135",,
12202,Rodez,Aveyron,Occitanie,"0,2607","0,3090","0,346135",,
67471,Souffelweyersheim,Bas-Rhin,Grand Est,"0,6844","-0,6739","-0,5762",,
67169,Gries,Bas-Rhin,Grand Est,"0,2833","-0,6739","-0,5762",,
67482,Strasbourg,Bas-Rhin,Grand Est,"-0,4599","-0,6739","-0,5762",,
67462,Sélestat,Bas-Rhin,Grand Est,"-0,7332","-0,6739","-0,5762",,
13001,Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"0,8244","0,6803","-0,41913",,
13039,Fos-sur-mer,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"0,5095","0,6803","-0,41913",,
13055,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"0,1760","0,6803","-0,41913",,
13047,Istres,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"-0,3461","0,6803","-0,41913",,
13004,Arles,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"-0,8153","0,6803","-0,41913",,
14118,Caen,Calvados,Normandie,"-0,5600","-0,2737","-0,508555",,
15014,Aurillac,Cantal,Auvergne-Rhône-Alpes,"-0,3358","-0,1494","-0,482241",,
16015,Angoulême,Charente,Nouvelle-Aquitaine,"-0,4110","0,1150","0,025033",,
17300,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,"0,8146","0,8157","0,025033",,
,,Cher,Centre-Val de Loire,,,,,
19031,Brive-la-Gaillarde,Corrèze,Nouvelle-Aquitaine,"-0,1961","0,2324","0,025033",,
2A004,Ajaccio,Corse-du-Sud,Corse,"-0,1791","-0,7039","-0,684166",,
