Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
A.C. Ajaccio,2012,16394,1417,836.0,2161.0,12517,4808
A.J. Auxerre,2012,18087,3562,1857.0,2146.0,29893,10332
F.C. Bordeaux,2012,37059,10667,5983.0,11406.0,55224,22514
Stade Brestois,2012,17053,7513,3792.0,1745.0,20776,8904
Stade Malherbe Caen,2012,15340,5883,4919.0,3287.0,24685,9948
Dijon FCO,2012,14256,4652,2498.0,2393.0,15287,6564
Evian TG FC,2012,20432,7908,3736.0,3044.0,22253,9712
LOSC Lille,2012,58233,10511,6400.0,4981.0,87525,25243
FC Lorient,2012,19606,4964,2671.0,2437.0,21620,8843
Olympique Lyonnais,2012,154558,0,,,99782,15514
Olympique Marseille,2012,70578,29871,18045.0,18778.0,98478,33982
Montpellier HSC,2012,36310,7013,4228.0,7277.0,36450,12049
AS Nancy Lorraine,2012,20109,4825,2663.0,2777.0,24177,9279
OGC Nice,2012,19564,3691,1862.0,3052.0,23952,7481
PSG,2012,47013,24597,25352.0,125425.0,117342,55604
Stade Rennais FC,2012,34159,10179,6918.0,3172.0,42984,13882
AS Saint-Étienne,2012,30074,6849,4902.0,2567.0,34886,11991
Sochaux-Montbéliard,2012,19009,7630,3500.0,2789.0,25575,13267
Toulouse FC,2012,27427,6269,2484.0,4441.0,28996,10888
Valenciennes FC,2012,20211,7020,4003.0,2109.0,25034,11060
Amiens SC,2012,4582,1944,1465.0,1596.0,6818,3097
Angers SCO,2012,4614,1860,805.0,1684.0,6923,3070
AC Arles-Avignon,2012,6807,798,321.0,726.0,6792,2877
SC Bastia,2012,4702,1323,2057.0,890.0,7958,3631
US Boulogne,2012,5632,2392,1245.0,1357.0,8253,4336
Clermont Foot,2012,4711,1950,521.0,1101.0,6154,2231
En Avant Guingamp,2012,4711,3278,1116.0,1073.0,7587,4487
FC Istres,2012,4379,393,372.0,1038.0,4787,1826
Stade Lavallois,2012,4796,2012,1010.0,984.0,5873,2586
Havre AC,2012,5403,2807,764.0,2043.0,9285,5651
Le Mans FC,2012,6509,3904,894.0,893.0,9729,8798
RC Lens,2012,7552,2485,2794.0,1875.0,21889,13055
FC Metz,2012,5032,5872,771.0,2605.0,8472,6644
AS Monaco,2012,7562,2587,476.0,7210.0,31484,10579
FC Nantes,2012,5087,2793,1848.0,2400.0,13727,9601
Stade de Reims,2012,4981,582,2351.0,1951.0,8427,3751
C.S. SEDAN ARDENNES,2012,5500,1692,1335.0,899.0,8303,4152
Tours Football Club,2012,4951,2108,947.0,1547.0,7772,4231
ESTAC Troyes,2012,5173,2000,955.0,1436.0,10260,4348
SC Bastia,2013,17185,2622,3273,1659,18599,7003
FC Girondins de Bordeaux,2013,41923,10293,7314,11677,56408,22569
Stade Brestois 29,2013,14062,7361,3304,1486,18146,7860
Evian Thonon Gaillard FC,2013,17455,8739,4432,2918,20421,12486
LOSC Lille Métropole,2013,57582,20058,15270,4432,61968,41373
FC Lorient,2013,23458,4860,2737,2704,23988,8793
Olympique Lyonnais,2013,77370,33400,25200,14800,60200,30200
Olympique de Marseille,2013,54783,23614,11614,14895,76943,31089
Montpellier Hérault SC,2013,55210,7253,5646,7208,44898,23640
AS Nancy Lorraine,2013,15526,5042,2523,3705,20108,9385
OGC Nice,2013,26411,4725,2384,3782,26783,8318
Paris Saint-Germain,2013,90866,35225,39919,233545,219587,96251
Stade de Reims,2013,15956,5148,5254,2632,16229,6009
Stade Rennais FC,2013,34159,9666,4692,2392,36761,10000
AS Saint-Étienne,2013,32838,7450,6283,4232,39640,13778
FC Sochaux-Montbéliard,2013,17246,7464,3181,7854,23366,12402
Toulouse FC,2013,24561,5656,2498,3508,25936,17065
ES Troyes AC,2013,14196,3731,2349,1489,13525,6859
Valenciennes FC,2013,19857,6117,3138,1683,23255,10194
GFC Ajaccio,2013,3054,598,282,868,3454,1660
Angers SCO,2013,4552,1807,1067,1375,6827,3072
