ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Paris,75056,Paris,Île-de-France,football,Paris SG,2021,1,2,2,48583,0.06,0.38,83990,0.0841,29730.0,0.95,1.0,0.8360000000000001,1.0,0.8467683369644154,0.9232579105921674,1.2850131237782914
Paris,75056,Paris,Île-de-France,football,Paris FC,2021,2,5,25,20000,0.08,0.0,83990,0.0841,29730.0,0.8,0.5,0.544,1.0,0.8467683369644154,0.9232579105921674,1.2850131237782914
Paris,75056,Paris,Île-de-France,football,Paris SG,2020,1,1,1,48583,0.98,0.88,76781,0.0867,28790.0,1.0,1.0,1.182,0.9374320655339208,0.8278867102396514,0.8439980649559118,1.21091521381135
Paris,75056,Paris,Île-de-France,football,Paris FC,2020,2,17,37,20000,0.12,0.0,76781,0.0867,28790.0,0.2,0.5,0.31600000000000006,0.9374320655339208,0.8278867102396514,0.8439980649559118,1.21091521381135
Paris,75056,Paris,Île-de-France,football,Paris SG,2019,1,1,1,48583,0.97,0.5,78151,0.0898,28570.0,1.0,1.0,1.1410000000000002,0.9227885064035618,0.8053740014524328,0.8590606240517185,1.2013327153135003
Paris,75056,Paris,Île-de-France,football,Paris FC,2019,2,4,24,20000,0.19,0.0,78151,0.0898,28570.0,0.85,0.5,0.597,0.9227885064035618,0.8053740014524328,0.8590606240517185,1.2013327153135003
Paris,75056,Paris,Île-de-France,football,Paris SG,2018,1,1,1,48583,0.97,0.38,70695,0.0899,28270.0,1.0,1.0,1.1290000000000002,0.9028200166803451,0.8046477850399419,0.7770851199507444,1.1519944591674813
Paris,75056,Paris,Île-de-France,football,Paris FC,2018,2,8,28,20000,0.15,0.0,70695,0.0899,28270.0,0.65,0.5,0.505,0.9028200166803451,0.8046477850399419,0.7770851199507444,1.1519944591674813
Paris,75056,Paris,Île-de-France,football,Paris SG,2017,1,2,2,48583,0.93,0.5,63560,0.0926,27400.0,0.95,1.0,1.1090000000000002,0.8449113964830165,0.785039941902687,0.6986388723970358,1.079803965743068
Paris,75056,Paris,Île-de-France,football,Paris SG,2016,1,1,1,48583,0.95,0.5,58546,0.0941,26808.8,1.0,1.0,1.135,0.8055601594017973,0.7741466957153231,0.64351210502012,1.0310534641284406
Paris,75056,Paris,Île-de-France,football,Paris FC,2016,2,20,40,20000,0.16,0.0,58546,0.0941,26808.8,0.05,0.5,0.268,0.8055601594017973,0.7741466957153231,0.64351210502012,1.0310534641284406
Paris,75056,Paris,Île-de-France,football,Paris SG,2015,1,1,1,48583,0.94,0.5,50624,0.0948,26430.9,1.0,1.0,1.132,0.7804065185137854,0.7690631808278867,0.556413131912835,0.9749007637758751
Paris,75056,Paris,Île-de-France,football,Paris SG,2014,1,1,1,48583,0.93,0.5,47932,0.093,26194.67,1.0,1.0,1.1290000000000002,0.7646826640894001,0.7821350762527233,0.5268157530180091,0.9603484802711263
Paris,75056,Paris,Île-de-France,football,Paris SG,2013,1,1,1,48583,0.89,0.5,44928,0.0918,25981.33,1.0,1.0,1.1170000000000002,0.7504824054308968,0.7908496732026143,0.4937880686940651,0.9425118331206985
Paris,75056,Paris,Île-de-France,football,Paris SG,2012,1,2,2,48583,0.88,0.13,45584,0.0901,25711.0,0.95,1.0,1.057,0.7324887993413061,0.8031953522149601,0.5010005057501594,0.9450934487190822
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2021,1,4,4,59186,0.05,0.0,14417,0.0851,25430.0,0.85,1.0,0.7550000000000001,0.7137849806338931,0.8395061728395062,0.1583327836048992,0.78443347047576
Bordeaux,33063,Gironde,Aquitaine,football,G. Bordeaux,2021,1,12,12,42115,0.11,0.0,9002,0.0911,24870.0,0.45,1.0,0.613,0.6765104664838885,0.7959331880900509,0.09879719418607208,0.7179693777316168
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2020,1,7,7,59186,0.8,0.0,13513,0.0882,24570.0,0.7,1.0,0.92,0.6565419767606716,0.8169934640522876,0.14839369351540338,0.745310369488114
Nantes,44109,Loire-Atlantique,Pays de la Loire,football,FC Nantes,2021,1,18,18,35322,0.1,0.0,7080,0.1009,24170.0,0.15,1.0,0.49,0.6299173237963827,0.7247639796659404,0.07766563317721045,0.6531817359401285
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2019,1,3,3,59186,0.83,0.0,14067,0.0927,24150.0,0.9,1.0,1.009,0.6285860911481682,0.7843137254901961,0.15448468456582448,0.7208336414872776
Lyon,69123,Rhône,Rhône-Alpes,football,Ol. Lyonnais,2018,1,3,3,59186,0.78,0.0,11908,0.0928,23890.0,0.9,1.0,0.9940000000000001,0.6112800667213804,0.7835875090777051,0.13074741077907515,0.7016794866169422
Bordeaux,33063,Gironde,Aquitaine,football,G. Bordeaux,2020,1,12,12,42115,0.56,0.0,7261,0.096,23860.0,0.45,1.0,0.748,0.6092832177490587,0.7603485838779956,0.07965565010884623,0.6637154040930444
Chambly,60139,Oise,Picardie,football,FC Chambly Oise,2021,2,19,39,4550,0.28,0.0,120,0.0843,23650.0,0.1,0.5,0.324,0.5953052749428069,0.8453159041394336,0.0011434351430393386,0.6613517796183592
Nantes,44109,Loire-Atlantique,Pays de la Loire,football,FC Nantes,2020,1,13,13,35322,0.71,0.0,5815,0.1052,23500.0,0.4,1.0,0.773,0.5853210300811985,0.6935366739288308,0.0637575037931262,0.6127755008934579
