ville,code_commune,departement,region,annee,score_sportif,score_economique
Paris,75056,Paris,Île-de-France,2 023,"1,000","0,427"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 018,"0,962","0,567"
Paris,75056,Paris,Île-de-France,2 019,"0,951","0,967"
Paris,75056,Paris,Île-de-France,2 022,"0,939","0,417"
Paris,75056,Paris,Île-de-France,2 020,"0,934","0,957"
Paris,75056,Paris,Île-de-France,2 018,"0,902","0,927"
Paris,75056,Paris,Île-de-France,2 021,"0,870","1,000"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 012,"0,855","0,546"
Paris,75056,Paris,Île-de-France,2 015,"0,810","0,816"
Saint-Etienne,42218,Loire,Rhône-Alpes,2 015,"0,806","0,552"
Paris,75056,Paris,Île-de-France,2 016,"0,806","0,857"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 022,"0,805","0,107"
Paris,75056,Paris,Île-de-France,2 014,"0,791","0,796"
Paris,75056,Paris,Île-de-France,2 017,"0,789","0,886"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 023,"0,771","0,090"
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,2 023,"0,763","0,002"
Paris,75056,Paris,Île-de-France,2 013,"0,763","0,776"
Saint-raphaël,83118,Var,Provence-Alpes-Côte d'Azur,2 013,"0,758","0,537"
Lyon,69123,Rhône,Rhône-Alpes,2 012,"0,737","0,542"
Rennes,35238,Îlle-et-Vilaine,Bretagne,2 020,"0,730","0,541"
La Rochelle,17300,Charente-Maritime,Poitou-Charentes,2 021,"0,728","0,562"
Saint-Etienne,42218,Loire,Rhône-Alpes,2 014,"0,727","0,541"
Rennes,35238,Îlle-et-Vilaine,Bretagne,2 023,"0,721","0,019"
Toulon,83137,Var,Provence-Alpes-Côte d'Azur,2 014,"0,721","0,517"
Toulon,83137,Var,Provence-Alpes-Côte d'Azur,2 015,"0,717","0,522"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 020,"0,717","0,581"
Levallois-perret,92044,Hauts-de-Seine,Île-de-France,2 022,"0,715","0,009"
Castres,81065,Tarn,Midi-Pyrénées,2 012,"0,708","0,521"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 013,"0,707","0,552"
Lyon,69123,Rhône,Rhône-Alpes,2 019,"0,703","0,606"
Toulon,83137,Var,Provence-Alpes-Côte d'Azur,2 012,"0,702","0,503"
Lyon,69123,Rhône,Rhône-Alpes,2 023,"0,697","0,064"
Dunkerque,59183,Nord,Nord-Pas-de-Calais,2 012,"0,696","0,516"
La Rochelle,17300,Charente-Maritime,Poitou-Charentes,2 022,"0,688","0,007"
Montpellier,34172,Hérault,Languedoc-Roussillon,2 012,"0,686","0,531"
Castres,81065,Tarn,Midi-Pyrénées,2 022,"0,685","0,002"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 015,"0,684","0,555"
Rennes,35238,Îlle-et-Vilaine,Bretagne,2 022,"0,680","0,020"
Saint-Etienne,42218,Loire,Rhône-Alpes,2 019,"0,676","0,553"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 019,"0,674","0,582"
Gap,05061,Hautes-Alpes,Provence-Alpes-Côte d'Azur,2 016,"0,674","0,507"
Gap,05061,Hautes-Alpes,Provence-Alpes-Côte d'Azur,2 017,"0,674","0,503"
Lyon,69123,Rhône,Rhône-Alpes,2 015,"0,668","0,569"
Lyon,69123,Rhône,Rhône-Alpes,2 018,"0,667","0,592"
La Rochelle,17300,Charente-Maritime,Poitou-Charentes,2 020,"0,666","0,560"
Lyon,69123,Rhône,Rhône-Alpes,2 014,"0,665","0,558"
La Rochelle,17300,Charente-Maritime,Poitou-Charentes,2 023,"0,664","0,007"
Levallois-perret,92044,Hauts-de-Seine,Île-de-France,2 021,"0,663","0,659"
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 021,"0,661","0,602"
