region,annee,score_sportif,score_economique
Alsace,2 012,"0,323","0,2635"
Alsace,2 013,"0,348","0,2849"
Alsace,2 014,"0,262","0,3033"
Alsace,2 015,"0,273","0,3076"
Alsace,2 016,"0,278","0,3226"
Alsace,2 017,"0,177","0,3262"
Alsace,2 018,"0,159","0,3399"
Alsace,2 019,"0,124","0,3538"
Alsace,2 020,"0,098","0,3529"
Alsace,2 021,"0,114","0,3709"
Alsace,2 022,"0,131","0,4164"
Alsace,2 023,"0,136","0,4301"
Aquitaine,2 012,"0,309","0,1874"
Aquitaine,2 013,"0,323","0,2194"
Aquitaine,2 014,"0,255","0,2445"
Aquitaine,2 015,"0,268","0,2583"
Aquitaine,2 016,"0,268","0,2684"
Aquitaine,2 017,"0,266","0,2793"
Aquitaine,2 018,"0,298","0,2921"
Aquitaine,2 019,"0,329","0,3031"
Aquitaine,2 020,"0,304","0,2988"
Aquitaine,2 021,"0,285","0,3099"
Aquitaine,2 022,"0,232","0,2821"
Aquitaine,2 023,"0,266","0,2876"
Auvergne,2 012,"0,159","0,1028"
Auvergne,2 013,"0,275","0,1034"
Auvergne,2 014,"0,186","0,1273"
Auvergne,2 015,"0,251","0,1389"
Auvergne,2 016,"0,257","0,1796"
Auvergne,2 017,"0,176","0,1876"
Auvergne,2 018,"0,179","0,1990"
Auvergne,2 019,"0,196","0,2051"
Auvergne,2 020,"0,161","0,2011"
Auvergne,2 021,"0,203","0,2064"
Auvergne,2 022,"0,270","0,1966"
Auvergne,2 023,"0,304","0,2121"
Basse-Normandie,2 012,"0,280","0,1835"
Basse-Normandie,2 013,"0,201","0,2088"
Basse-Normandie,2 014,"0,213","0,2234"
Basse-Normandie,2 015,"0,277","0,1975"
Basse-Normandie,2 016,"0,258","0,2058"
Basse-Normandie,2 017,"0,219","0,2103"
Basse-Normandie,2 018,"0,203","0,2209"
Basse-Normandie,2 019,"0,210","0,2317"
Basse-Normandie,2 020,"0,166","0,2271"
Basse-Normandie,2 021,"0,162","0,2401"
Basse-Normandie,2 022,"0,240","0,2403"
Basse-Normandie,2 023,"0,164","0,2567"
Bourgogne,2 012,"0,443","0,1706"
Bourgogne,2 013,"0,324","0,1965"
Bourgogne,2 014,"0,342","0,2143"
Bourgogne,2 015,"0,355","0,2316"
Bourgogne,2 016,"0,383","0,2363"
Bourgogne,2 017,"0,367","0,2428"
Bourgogne,2 018,"0,324","0,2489"
Bourgogne,2 019,"0,293","0,2564"
Bourgogne,2 020,"0,318","0,2498"
Bourgogne,2 021,"0,284","0,2595"
Bourgogne,2 022,"0,262","0,2500"
Bourgogne,2 023,"0,313","0,2691"
Bretagne,2 012,"0,420","0,1682"
Bretagne,2 013,"0,495","0,1994"
Bretagne,2 014,"0,498","0,2244"
Bretagne,2 015,"0,501","0,2360"
Bretagne,2 016,"0,465","0,2418"
Bretagne,2 017,"0,438","0,2495"
Bretagne,2 018,"0,393","0,2661"
Bretagne,2 019,"0,376","0,2768"
Bretagne,2 020,"0,422","0,2687"
Bretagne,2 021,"0,365","0,2860"
Bretagne,2 022,"0,395","0,2516"
Bretagne,2 023,"0,431","0,2657"
Centre,2 012,"0,165","0,1867"
Centre,2 013,"0,141","0,2169"
Centre,2 014,"0,135","0,2367"
Centre,2 015,"0,127","0,2530"
Centre,2 016,"0,194","0,2723"
Centre,2 017,"0,167","0,2655"
Centre,2 018,"0,197","0,2704"
Centre,2 019,"0,150","0,2757"
Centre,2 020,"0,155","0,2721"
Centre,2 021,"0,124","0,2801"
Centre,2 022,"0,156","0,2893"
Centre,2 023,"0,173","0,3035"
Champagne-Ardenne,2 012,"0,343","0,1849"
Champagne-Ardenne,2 013,"0,324","0,2141"
Champagne-Ardenne,2 014,"0,381","0,2413"
Champagne-Ardenne,2 015,"0,299","0,2588"
Champagne-Ardenne,2 016,"0,302","0,2617"
Champagne-Ardenne,2 017,"0,278","0,2695"
Champagne-Ardenne,2 018,"0,266","0,2866"
Champagne-Ardenne,2 019,"0,444","0,2950"
Champagne-Ardenne,2 020,"0,447","0,2897"
Champagne-Ardenne,2 021,"0,374","0,3018"
Champagne-Ardenne,2 022,"0,477","0,3855"
Champagne-Ardenne,2 023,"0,457","0,4001"
Corse,2 012,"0,439","0,1909"
Corse,2 013,"0,419","0,2117"
Corse,2 014,"0,364","0,2355"
Corse,2 015,"0,409","0,2539"
Corse,2 016,"0,442","0,2804"
Corse,2 017,"0,334","0,3034"
Corse,2 018,"0,258","0,3479"
Corse,2 019,"0,119","0,3474"
Corse,2 020,"0,312","0,3489"
Corse,2 021,"0,144","0,3384"
Corse,2 022,"0,269","0,2122"
