region,fin_saison,SUM de nb_clubs,SUM de nb_sport,AVERAGE de score_classement_moyen,SUM de nb_crea_entreprise,AVERAGE de taux_chomage,SUM de salaire_median
Alsace,2 012,1,1,10,2 486,"0,060",22 435
Alsace,2 013,1,1,2,2 796,"0,062",22 788
Alsace,2 014,2,1,16,1 443,"0,064",22 961
Alsace,2 015,2,1,17,1 332,"0,065",22 785
Alsace,2 016,2,1,19,1 558,"0,065",23 120
Alsace,2 017,2,2,13,3 433,"0,063",23 499
Alsace,2 018,2,2,9,3 980,"0,061",24 228
Alsace,2 019,3,2,15,2 983,"0,060",24 397
Alsace,2 020,4,2,20,2 378,"0,058",24 842
Alsace,2 021,4,2,19,2 958,"0,054",25 716
Alsace,2 022,3,2,13,3 710,"0,062",0
Alsace,2 023,3,2,17,3 187,"0,063",0
Aquitaine,2 012,11,9,16,4 887,"0,075",94 726
Aquitaine,2 013,10,8,16,5 065,"0,079",96 804
Aquitaine,2 014,10,7,18,5 364,"0,084",97 724
Aquitaine,2 015,10,7,17,5 666,"0,086",98 265
Aquitaine,2 016,10,7,16,6 357,"0,087",99 310
Aquitaine,2 017,10,7,17,7 322,"0,086",100 908
Aquitaine,2 018,10,7,15,8 582,"0,084",104 230
Aquitaine,2 019,9,7,13,9 346,"0,084",105 118
Aquitaine,2 020,9,7,15,9 233,"0,080",107 345
Aquitaine,2 021,10,8,16,11 352,"0,076",110 879
Aquitaine,2 022,10,8,20,10 846,"0,067",0
Aquitaine,2 023,10,8,19,10 771,"0,066",0
Auvergne,2 012,3,3,29,1 454,"0,066",54 573
Auvergne,2 013,2,2,26,1 331,"0,062",37 472
Auvergne,2 014,2,2,30,1 325,"0,065",38 089
Auvergne,2 015,2,2,26,1 251,"0,067",38 318
Auvergne,2 016,3,3,24,1 469,"0,075",58 228
Auvergne,2 017,3,3,29,1 743,"0,074",59 219
Auvergne,2 018,3,3,27,2 058,"0,072",61 200
Auvergne,2 019,3,3,27,2 325,"0,072",61 701
Auvergne,2 020,3,3,28,2 653,"0,068",63 031
Auvergne,2 021,3,3,25,3 255,"0,065",64 611
Auvergne,2 022,3,3,22,3 086,"0,060",0
Auvergne,2 023,3,3,19,2 924,"0,061",0
Basse-Normandie,2 012,1,1,18,936,"0,069",20 003
Basse-Normandie,2 013,1,1,24,937,"0,072",20 380
Basse-Normandie,2 014,1,1,23,990,"0,074",20 593
Basse-Normandie,2 015,1,1,13,929,"0,075",20 984
Basse-Normandie,2 016,1,1,7,921,"0,074",21 423
Basse-Normandie,2 017,1,1,17,1 070,"0,073",21 769
Basse-Normandie,2 018,2,2,24,1 522,"0,070",22 474
Basse-Normandie,2 019,2,2,27,1 775,"0,070",22 667
Basse-Normandie,2 020,1,1,33,1 881,"0,066",23 102
Basse-Normandie,2 021,1,1,37,2 227,"0,062",23 866
Basse-Normandie,2 022,1,1,27,1 911,"0,064",0
Basse-Normandie,2 023,1,1,25,1 981,"0,064",0
Bourgogne,2 012,3,4,12,1 829,"0,068",59 864
Bourgogne,2 013,3,4,17,1 752,"0,071",61 191
Bourgogne,2 014,3,4,20,1 940,"0,074",61 661
Bourgogne,2 015,3,4,18,1 814,"0,077",62 315
Bourgogne,2 016,3,4,16,1 885,"0,076",62 951
Bourgogne,2 017,3,4,18,2 183,"0,076",63 769
Bourgogne,2 018,4,5,18,2 801,"0,076",86 047
Bourgogne,2 019,4,5,20,3 396,"0,076",86 677
Bourgogne,2 020,4,5,18,3 712,"0,071",88 303
Bourgogne,2 021,4,5,19,4 081,"0,068",91 390
Bourgogne,2 022,4,5,21,3 920,"0,064",0
Bourgogne,2 023,4,5,19,3 840,"0,065",0
Bretagne,2 012,5,5,19,2 941,"0,070",77 174
Bretagne,2 013,4,4,16,3 194,"0,074",79 167
Bretagne,2 014,4,4,16,3 291,"0,078",79 971
Bretagne,2 015,4,4,15,3 264,"0,080",80 020
Bretagne,2 016,4,4,17,3 499,"0,080",80 931
Bretagne,2 017,5,5,17,4 051,"0,079",82 177
Bretagne,2 018,6,6,18,4 571,"0,077",85 073
Bretagne,2 019,6,6,20,5 254,"0,077",85 907
Bretagne,2 020,6,6,17,5 479,"0,073",87 386
Bretagne,2 021,6,6,18,6 680,"0,070",90 912
Bretagne,2 022,6,6,18,6 604,"0,059",0
Bretagne,2 023,6,6,17,6 271,"0,060",0
Centre,2 012,3,3,21,2 312,"0,074",58 749
Centre,2 013,3,3,25,2 241,"0,078",60 073
Centre,2 014,3,3,25,2 454,"0,082",60 377
Centre,2 015,4,4,34,2 336,"0,085",60 761
Centre,2 016,2,2,20,2 162,"0,083",42 143
Centre,2 017,4,4,30,2 837,"0,080",63 854
Centre,2 018,5,5,29,3 915,"0,079",86 039
Centre,2 019,5,5,29,2 958,"0,077",88 174
Centre,2 020,4,4,27,2 757,"0,075",66 335
Centre,2 021,3,3,24,3 238,"0,071",68 193
Centre,2 022,3,3,25,5 117,"0,065",0
Centre,2 023,2,2,21,2 491,"0,066",0
Champagne-Ardenne,2 012,4,4,23,1 921,"0,070",61 247
Champagne-Ardenne,2 013,5,5,25,2 027,"0,073",62 411
Champagne-Ardenne,2 014,3,3,23,1 743,"0,073",43 310
Champagne-Ardenne,2 015,4,4,23,1 932,"0,081",63 449
